bus,load_MW,p_inj_mw,neighbor_count,v_deviation,load_ratio,gen_flag,degree_centrality,scenario
0,0.46661680144452883,-0.4892279876196811,-0.5157674353695747,-1.2005901275955302,0.5638499051906694,0,-0.5157642963990284,0
1,-0.4104285873969621,-0.10926120644430776,-0.5157674353695747,-0.5437062016744638,-0.37451079278551164,0,-0.5157642963990284,0
2,0.1629307644904346,-0.35766055973345195,0.03751035893596896,-0.7199165949751278,0.23893280827931834,0,0.03751013064720171,0
3,0.12472905594003236,-0.3411102415652329,-0.5157674353695747,0.5993479549199673,0.19806037185206662,0,-0.5157642963990284,0
4,-0.9092825697515321,0.1068598111944266,0.5907881532415127,0.7730891789225338,-0.9082402633762666,0,0.5907845576934321,0
5,0.2788401055853372,-0.40787654604878315,-0.5157674353695747,0.26447575352173053,0.3629455122916407,0,-0.5157642963990284,0
6,-0.3734138632109849,-0.12529728141144023,-0.5157674353695747,0.22706043940224319,-0.3349083242423166,0,-0.5157642963990284,0
7,-0.15606702930975358,-0.21945954248346664,-0.5157674353695747,1.3109513828912012,-0.1023665090098413,0,-0.5157642963990284,0
8,-0.9092825697515321,0.1068598111944266,-0.5157674353695747,2.4795802335548536,-0.9082402633762666,0,-0.5157642963990284,0
9,-0.9092825697515321,4.054953402362959,-1.0690452296751185,2.7760172640084897,-0.9082402633762666,1,-1.069038723445259,0
10,0.9843561117044091,-0.7135307907702244,0.5907881532415127,0.0067949024780433005,1.1177849999146796,0,0.5907845576934321,0
11,0.17428778600721054,0.38317019242819184,2.250621536158144,0.26447575352173053,0.2510838129741716,1,2.250607838832123,0
12,-0.058853781858092764,-0.26157572619729313,-0.5157674353695747,-0.7468936464063092,0.001643034728559296,0,-0.5157642963990284,0
13,-0.5658753726011457,-0.041916214532186635,-0.5157674353695747,-0.02503165812939157,-0.5408250516803994,0,-0.5157642963990284,0
14,1.6023284991420212,-0.9812580736422031,1.1440659475470563,-0.5727047499738404,1.7789605880697497,0,1.1440589847396623,0
15,-0.2545808516645145,-0.17677990416866313,-0.5157674353695747,-0.06765890750644717,-0.20776755242359551,0,-0.5157642963990284,0
16,-0.6092583306212995,-0.023121197619141397,1.1440659475470563,0.4566004067360612,-0.5872409650253587,0,1.1440589847396623,0
17,0.5889327617610537,-0.542219545775224,-0.5157674353695747,-0.44712767444952195,0.6947171229612935,0,-0.5157642963990284,0
18,0.15527837382060317,-0.35434527606842625,0.5907881532415127,-0.9075769513720817,0.23074542967669612,0,0.5907845576934321,0
19,-0.4476607292296586,-0.09313093853751023,-0.5157674353695747,-1.3420135505854556,-0.41434587890736735,0,-0.5157642963990284,0
20,-0.5919856703332032,-0.03060431903509562,-0.5157674353695747,-1.4047480753944084,-0.5687607520625462,0,-0.5157642963990284,0
21,-0.6362374178181747,-0.011432912096327841,-0.5157674353695747,-0.964990498444603,-0.6161061929997749,0,-0.5157642963990284,0
22,-0.7264849558115102,0.0276654823044748,0.5907881532415127,0.5093506754789168,-0.7126630460651792,0,0.5907845576934321,0
23,-0.5598163978554185,-0.044541174609107996,0.03751035893596896,0.34819380387129323,-0.5343424866458454,0,0.03751013064720171,0
24,-0.9092825697515321,2.037038900210154,-0.5157674353695747,2.776017264008462,-0.9082402633762666,1,-0.5157642963990284,0
25,-0.9092825697515321,2.8617517836986917,-1.0690452296751185,1.310951382891192,-0.9082402633762666,1,-1.069038723445259,0
26,0.8252635312623149,-0.6446063126661706,0.5907881532415127,-0.656422800323403,0.947570063805534,0,0.5907845576934321,0
27,-0.4303296862167026,-0.10063935339474289,-0.5157674353695747,-0.9828779774663159,-0.3958032016124391,0,-0.5157642963990284,0
28,-0.24442519141985963,-0.1811796918911314,-0.5157674353695747,-0.9002518100122456,-0.1969018976275863,0,-0.5157642963990284,0
29,-0.9092825697515321,0.1068598111944266,0.03751035893596896,-0.17080977040659337,-0.9082402633762666,0,0.03751013064720171,0
30,0.2519460794804673,-0.33481032277435685,0.03751035893596896,-0.6982818254981774,0.33417129213355923,0,0.03751013064720171,0
31,0.47478974319295825,-0.4927687922443843,1.1440659475470563,-0.8657179261973074,0.5725942272304958,0,1.1440589847396623,0
32,-0.33170995185906843,-0.14336487649878488,-0.5157674353695747,-0.6582037767833842,-0.2902888417589605,0,-0.5157642963990284,0
33,0.4207234503495909,-0.46934538049950797,0.5907881532415127,0.013321602473047178,0.5147480941398219,0,0.5907845576934321,0
34,-0.1432299282177401,-0.22502102429913215,-0.5157674353695747,-0.15651003206715117,-0.08863195057768965,0,-0.5157642963990284,0
35,-0.09007269641483129,-0.24805059896119658,-0.5157674353695747,-0.15411449822605958,-0.0317584320897267,0,-0.5157642963990284,0
